Date,Open,High,Low,Close ,Adj Close ,Volume
4-Oct-24,141.02,141.26,137.35,140.04,139.75,"960,400"
3-Oct-24,134.42,139.05,134.42,138.91,138.63,"1,665,000"
2-Oct-24,132.07,135.58,130.98,135.08,134.8,"1,417,000"
1-Oct-24,130.93,132.19,129.66,132.07,131.8,"1,215,800"
30-Sep-24,1197:1000 Stock Splits,,,,,
30-Sep-24,131.18,132.23,128.71,130.9,130.63,"1,591,600"
27-Sep-24,129.45,130.58,128.6,129.93,129.67,"721,193"
26-Sep-24,129.44,130.18,128.5,129.16,128.9,"809,531"
25-Sep-24,126.45,128.78,126.04,128.72,128.46,"1,276,241"
24-Sep-24,123.98,125.81,123.98,125.7,125.44,"773,621"
23-Sep-24,124.48,125.2,123.57,123.92,123.66,"946,707"
20-Sep-24,124.05,124.24,123.29,124.18,123.92,"953,650"
19-Sep-24,123.02,125.34,121.84,124.86,124.61,"1,184,072"
18-Sep-24,121.71,121.97,119.57,121.59,121.34,"924,563"
17-Sep-24,121.14,122.6,120.55,121.09,120.84,"744,654"
16-Sep-24,120.94,121.21,119.27,120.96,120.71,"606,281"
13-Sep-24,119.47,121.21,119.46,120.27,120.02,"553,373"
12-Sep-24,118.67,119.09,117.64,119.05,118.8,"563,308"
11-Sep-24,119.12,119.2,116.78,118.58,118.34,"1,042,108"
10-Sep-24,121.02,121.02,119.21,119.58,119.34,"589,642"
9-Sep-24,119.09,121.49,118.75,120.75,120.5,"925,520"
6-Sep-24,120.44,121.48,118.42,118.55,118.31,"710,539"
5-Sep-24,123.1,123.5,120.12,120.25,120,"811,805"
4-Sep-24,122.55,123.29,121.93,122.66,122.41,"636,804"
3-Sep-24,125.54,126.05,122.39,122.93,122.68,"1,462,614"
30-Aug-24,125.58,126.29,124.44,126.05,125.79,"994,348"
29-Aug-24,125.51,126.21,124.99,125.31,125.06,"634,171"
28-Aug-24,125.31,125.74,124.31,124.85,124.59,"461,204"
27-Aug-24,125.29,125.56,124.82,125.3,125.04,"420,746"
26-Aug-24,125.16,126.82,124.97,125.35,125.09,"675,108"
23-Aug-24,124.74,125.27,123.82,124.48,124.22,"608,076"
22-Aug-24,123.92,124.73,123.42,124.16,123.91,"472,336"
21-Aug-24,123.68,124.12,123.27,124.01,123.76,"510,401"
20-Aug-24,123.38,123.86,122.45,123.19,122.94,"649,013"
19-Aug-24,122.89,124,122.71,123.68,123.43,"601,971"
16-Aug-24,122.32,123.32,122.24,122.73,122.48,"688,395"
15-Aug-24,122.17,122.98,121.61,122.5,122.25,"673,911"
14-Aug-24,120.33,121.77,119.43,121.13,120.88,"979,984"
13-Aug-24,120.24,120.91,119.38,120.34,120.1,"985,969"
12-Aug-24,120.13,120.33,118.9,119.87,119.63,"795,766"
9-Aug-24,118.92,120.48,117.96,119.88,119.64,"1,207,534"
8-Aug-24,117.13,119.75,116.73,118.85,118.6,"1,731,700"
7-Aug-24,117.74,119.22,116.43,116.47,116.24,"1,288,690"
6-Aug-24,117.08,119.66,114.92,117.54,117.3,"1,054,318"
5-Aug-24,116.21,118.16,115.19,117.07,116.83,"1,225,010"
2-Aug-24,120.43,120.43,118.09,118.83,118.59,"712,694"
1-Aug-24,122.71,122.86,119.65,120.94,120.69,"1,037,081"
31-Jul-24,122.99,123.88,121.7,122.26,122.01,"649,492"
30-Jul-24,122.24,123.19,122.05,122.13,121.88,"648,176"
29-Jul-24,122.56,123.01,121.56,121.8,121.56,"677,263"
26-Jul-24,0.29 Dividend,,,,,
26-Jul-24,122.57,123.55,121.38,121.95,121.71,"631,058"
25-Jul-24,120.24,123.3,120.15,121.7,121.17,"838,738"
24-Jul-24,126.23,126.43,119.34,119.41,118.88,"1,692,678"
23-Jul-24,124.66,126.46,124.31,126.38,125.82,"545,234"
22-Jul-24,124.23,124.9,123.39,124.85,124.29,"406,022"
19-Jul-24,124.65,125.36,122.84,123.55,123,"447,798"
18-Jul-24,125.29,127.29,123.55,124.27,123.72,"688,514"
17-Jul-24,125.56,127.06,124.94,124.94,124.38,"891,526"
16-Jul-24,121.43,125.95,121.14,125.93,125.37,"912,593"
15-Jul-24,120.3,121.4,120.17,120.89,120.35,"765,242"
12-Jul-24,118.81,120.79,118.26,120.24,119.71,"715,208"
11-Jul-24,116.2,117.99,115.77,117.89,117.36,"570,131"
10-Jul-24,114.18,115.83,113.57,115.76,115.25,"406,741"
9-Jul-24,114.89,115.04,113.91,113.98,113.48,"359,699"
8-Jul-24,114.66,115.51,114.62,115,114.5,"425,174"
5-Jul-24,114.69,114.8,112.15,114.24,113.73,"1,093,938"
3-Jul-24,114.69,116.12,114.62,115.7,115.19,"616,934"
2-Jul-24,115.55,115.55,114.39,115.1,114.59,"546,909"
1-Jul-24,116.91,117.13,115.01,115.54,115.03,"790,858"
28-Jun-24,116.96,118.4,115.92,116.72,116.2,"1,562,444"
27-Jun-24,116.62,117.08,115.62,116.5,115.98,"1,288,690"
26-Jun-24,116.12,116.65,115.58,116.18,115.67,"947,904"
25-Jun-24,118.55,118.7,116.22,116.9,116.38,"1,103,634"
24-Jun-24,118.03,119.34,117.52,118.71,118.18,"985,011"
21-Jun-24,117.79,118.43,116.37,117.76,117.24,"1,517,198"
20-Jun-24,117.79,118.35,117.33,117.95,117.43,"1,140,980"
18-Jun-24,117.73,118.39,117.39,117.79,117.27,"679,417"
17-Jun-24,115.29,117.74,115.04,117.58,117.06,"537,812"
14-Jun-24,115.67,116.68,114.35,115.46,114.94,"841,611"
13-Jun-24,116.71,116.71,114.8,116.28,115.77,"683,726"
12-Jun-24,117.29,117.79,116.06,116.81,116.29,"776,614"
11-Jun-24,116.47,116.57,115.3,116.53,116.02,"625,073"
10-Jun-24,115.98,117.09,115.76,116.98,116.46,"660,265"
7-Jun-24,115.54,117.45,115.44,116.17,115.66,"604,605"
6-Jun-24,114.93,115.71,114.33,115.54,115.03,"618,969"
5-Jun-24,115.72,116.21,114.35,115.54,115.03,"857,651"
4-Jun-24,115.01,115.85,114.01,115.81,115.29,"816,474"
3-Jun-24,116.48,116.52,113.97,115.27,114.76,"712,454"
31-May-24,115.15,116.57,113.91,116.41,115.89,"1,473,148"
30-May-24,111.95,115,111.23,114.76,114.25,"1,074,906"
29-May-24,114.09,114.39,112.03,112.05,111.55,"697,971"
28-May-24,117.64,117.69,114.75,114.88,114.37,"807,496"
24-May-24,116.33,117.49,115.41,117.38,116.86,"636,924"
23-May-24,0.29 Dividend,,,,,
23-May-24,115.35,116.77,114.75,115.72,115.21,"951,256"
22-May-24,115.91,116.04,114.67,115.18,114.38,"859,805"
21-May-24,114.39,116.06,113.33,115.95,115.14,"862,558"
20-May-24,113.98,114.85,113.68,114.36,113.57,"472,456"
17-May-24,115.3,115.37,113.57,113.98,113.19,"577,193"
16-May-24,114.69,115.36,113.45,115.08,114.28,"884,942"
15-May-24,115.76,115.76,114.49,115.05,114.25,"657,632"
14-May-24,116.11,116.27,114.84,115.18,114.38,"478,680"
13-May-24,116.87,116.92,115.37,115.56,114.75,"603,288"
10-May-24,117.48,117.57,115.91,116.32,115.52,"565,583"
9-May-24,115.88,117.48,115.28,116.78,115.97,"1,300,181"
8-May-24,116.12,117.63,114.75,115.71,114.91,"1,545,806"
7-May-24,123.65,124.49,117.08,118.33,117.51,"1,659,880"
6-May-24,124.82,126.15,124.06,124.54,123.68,"1,299,703"
3-May-24,121.87,123.92,121.01,123.73,122.87,"800,195"
2-May-24,119.97,121.14,118.58,121.08,120.24,"507,049"
1-May-24,120.18,121.13,119.5,119.62,118.8,"594,191"
30-Apr-24,121.4,121.82,119.8,119.91,119.08,"549,303"
29-Apr-24,121.04,121.93,121.04,121.85,121,"601,732"
